epoch,train mae,train rmse,test mae,test rmse
1,0.0588013,0.070884,0.0588013,0.070884
2,0.0702589,0.0870971,0.0696371,0.0866413
3,0.0624414,0.0699062,0.0626504,0.0700351
4,0.0407082,0.0464906,0.0409308,0.0466603
5,0.0793089,0.105055,0.0782598,0.104317
6,0.0397996,0.0504214,0.0399714,0.0505795
7,0.08922,0.13492,0.0884033,0.13414
8,0.00706797,0.00757503,0.00708336,0.0075833
9,0.0245539,0.0280076,0.0244745,0.0279574
10,0.0127364,0.0150079,0.0127759,0.0150421
11,0.0113501,0.0181998,0.0111774,0.0179172
12,0.0100738,0.0110794,0.0100981,0.0111017
