epoch,train mae,train rmse,test mae,test rmse
1,0.715818,1.06265,0.715818,1.06265
2,0.864113,0.92639,0.86187,0.92453
3,0.438438,0.457073,0.437078,0.456171
4,0.156911,0.227086,0.157688,0.227718
5,0.473498,0.506215,0.474134,0.507513
6,0.344321,0.387799,0.345625,0.388971
7,0.161821,0.202353,0.16147,0.20284
8,0.0346352,0.0424827,0.034904,0.0427977
9,0.186988,0.229448,0.187125,0.229803
10,0.181578,0.205587,0.183367,0.207112
11,0.0435875,0.0542532,0.043617,0.0541605
12,0.319999,0.349757,0.318344,0.347969
